exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
0.0,line,0.0,0.01184339059266751,PUD NO 1 OF CHELAN COUNTY 115 kV #211417,0.0 of 0 mi above 40%,140,mi,115.0,0.0
0.0,line,0.0,0.08879002834649613,PUD NO 1 OF CHELAN COUNTY 115 kV #211418,0.0 of 0 mi above 40%,141,mi,115.0,0.0
0.0,line,0.0,0.0788598032458273,PUD NO 1 OF CHELAN COUNTY 115 kV #211421,0.0 of 0 mi above 40%,142,mi,115.0,0.0
0.0,line,0.0,0.0577405654133479,PUD NO 1 OF CHELAN COUNTY 115 kV #211423,0.0 of 0 mi above 40%,143,mi,115.0,0.0
0.0,line,0.0,0.15279652050793774,PUD NO 1 OF CHELAN COUNTY 115 kV #211427,0.0 of 0 mi above 40%,144,mi,115.0,0.0
0.0,line,0.0,0.05985029809474449,PUD NO 1 OF CHELAN COUNTY 115 kV #211441,0.0 of 0 mi above 40%,145,mi,115.0,0.0
0.0,line,0.0,0.07141423618710405,PUD NO 1 OF CHELAN COUNTY 115 kV #211447,0.0 of 0 mi above 40%,146,mi,115.0,0.0
0.0,line,0.0,0.16936781499700965,PUD NO 1 OF CHELAN COUNTY 115 kV #211452,0.0 of 0 mi above 40%,147,mi,115.0,0.0
0.0,line,0.0,0.05297475064200768,PUD NO 1 OF CHELAN COUNTY 115 kV #211457,0.0 of 0 mi above 40%,148,mi,115.0,0.0
0.0,substation,,,BREWSTER,"115 kV substation, P 0%",149,site,115.0,0.0
0.0,substation,,,SICKLER,"500 kV substation, P 0%",150,site,500.0,0.0
0.0,substation,,,ROCKY REACH,"345 kV substation, P 0%",151,site,345.0,0.0
0.0,substation,,,ANDREW YORK SUBSTATION & SWITCHYARD,"115 kV substation, P 0%",152,site,115.0,0.0
0.0,substation,,,MISSION,"115 kV substation, P 0%",153,site,115.0,0.0
0.0,substation,,,LAKE CHELAN PROJECT SWITCHYARD,"115 kV substation, P 0%",154,site,115.0,0.0
0.0,substation,,,UNKNOWN202968,"115 kV substation, P 0%",155,site,115.0,0.0
0.0,substation,,,WATERVILLE,"69 kV substation, P 0%",156,site,69.0,0.0
0.0,substation,,,TAP209276,"115 kV substation, P 0%",157,site,115.0,0.0
0.0,substation,,,TAP209285,"115 kV substation, P 0%",158,site,115.0,0.0
