exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
0.0,line,0.0,0.05443503434442946,REDDING ELECTRIC UTILITY 115 kV #300213,0.0 of 0 mi above 40%,134,mi,115.0,0.0
0.0,line,0.0,0.026735537260654543,REDDING ELECTRIC UTILITY 115 kV #307345,0.0 of 0 mi above 40%,135,mi,115.0,0.0
0.0,line,0.0,0.014842248812486133,REDDING ELECTRIC UTILITY 115 kV #302499,0.0 of 0 mi above 40%,136,mi,115.0,0.0
0.0,line,0.0,0.04972527394571404,REDDING ELECTRIC UTILITY 115 kV #308223,0.0 of 0 mi above 40%,137,mi,115.0,0.0
0.0,line,0.0,0.07925719991201366,REDDING ELECTRIC UTILITY 115 kV #312061,0.0 of 0 mi above 40%,138,mi,115.0,0.0
0.0,line,0.0,0.0375727769990992,REDDING ELECTRIC UTILITY 115 kV #312597,0.0 of 0 mi above 40%,139,mi,115.0,0.0
0.0,substation,,,TAP205360,"69 kV substation, P 0%",140,site,69.0,0.0
0.0,substation,,,CRAG VIEW,"115 kV substation, P 0%",141,site,115.0,0.0
0.0,substation,,,TAP302660,"60 kV substation, P 0%",142,site,60.0,0.0
0.0,substation,,,UNKNOWN301802,"69 kV substation, P 0%",143,site,69.0,0.0
0.0,substation,,,DOG CREEK,"69 kV substation, P 0%",144,site,69.0,0.0
0.0,substation,,,PIT 7 TAP,"230 kV substation, P 0%",145,site,230.0,0.0
0.0,substation,,,UNKNOWN303040,"69 kV substation, P 0%",146,site,69.0,0.0
0.0,substation,,,WHITMORE,"69 kV substation, P 0%",147,site,69.0,0.0
0.0,substation,,,NUTGLADE,"69 kV substation, P 0%",148,site,69.0,0.0
0.0,substation,,,TAP307862,"60 kV substation, P 0%",149,site,60.0,0.0
